time,signal_1
0.001,-14702
0.002,-14656
0.003,-14629
0.004,-14631
0.005,-14646
0.006,-14704
0.007,-14707
0.008,-14722
0.009,-14700
0.010,-14741
0.011,-14775
0.012,-14794
0.013,-14783
0.014,-14756
0.015,-14742
0.016,-14743
0.017,-14811
0.018,-14780
0.019,-14734
0.020,-14747
0.021,-14795
0.022,-14802
0.023,-14754
0.024,-14712
0.025,-14759
0.026,-14891
0.027,-14922
0.028,-14848
0.029,-14719
0.030,-14697
0.031,-14781
0.032,-14658
0.033,-14558
0.034,-14686
0.035,-14670
0.036,-14642
0.037,-14659
0.038,-14665
0.039,-14669
0.040,-14697
0.041,-14742
0.042,-14701
0.043,-14625
0.044,-14640
0.045,-14741
0.046,-14674
0.047,-14633
0.048,-14612
0.049,-14673
0.050,-14766
0.051,-14786
0.052,-14778
0.053,-14788
0.054,-14837
0.055,-14833
0.056,-14816
0.057,-14780
0.058,-14725
0.059,-14716
0.060,-14720
0.061,-14747
0.062,-14754
0.063,-14741
0.064,-14686
0.065,-14642
0.066,-14668
0.067,-14732
0.068,-14751
0.069,-14732
0.070,-14697
0.071,-14731
0.072,-14749
0.073,-14653
0.074,-14663
0.075,-14687
0.076,-14694
0.077,-14665
0.078,-14723
0.079,-14756
0.080,-14754
0.081,-14737
0.082,-14721
0.083,-14716
0.084,-14673
0.085,-14726
0.086,-14689
0.087,-14583
0.088,-14631
0.089,-14671
0.090,-14637
0.091,-14571
0.092,-14536
0.093,-14527
0.094,-14517
0.095,-14522
0.096,-14589
0.097,-14634
0.098,-14618
0.099,-14592
0.100,-14564
0.101,-14578
0.102,-14629
0.103,-14607
0.104,-14606
0.105,-14664
0.106,-14610
0.107,-14631
0.108,-14631
0.109,-14588
0.110,-14597
0.111,-14549
0.112,-14533
0.113,-14511
0.114,-14530
0.115,-14590
0.116,-14632
0.117,-14515
0.118,-14454
0.119,-14542
0.120,-14544
0.121,-14561
0.122,-14521
0.123,-14514
0.124,-14529
0.125,-14516
0.126,-14454
0.127,-14486
0.128,-14588
0.129,-14510
0.130,-14407
0.131,-14404
0.132,-14431
0.133,-14457
0.134,-14462
0.135,-14496
0.136,-14552
0.137,-14571
0.138,-14568
0.139,-14559
0.140,-14585
0.141,-14566
0.142,-14503
0.143,-14497
0.144,-14527
0.145,-14511
0.146,-14496
0.147,-14449
0.148,-14452
0.149,-14422
0.150,-14386
0.151,-14459
0.152,-14544
0.153,-14601
0.154,-14690
0.155,-14654
0.156,-14555
0.157,-14428
0.158,-14395
0.159,-14504
0.160,-14567
0.161,-14499
0.162,-14511
0.163,-14532
0.164,-14492
0.165,-14535
0.166,-14548
0.167,-14562
0.168,-14631
0.169,-14747
0.170,-14618
0.171,-14497
0.172,-14499
0.173,-14488
0.174,-14484
0.175,-14498
0.176,-14593
0.177,-14611
0.178,-14594
0.179,-14589
0.180,-14612
0.181,-14631
0.182,-14607
0.183,-14649
0.184,-14619
0.185,-14546
0.186,-14651
0.187,-14734
0.188,-14692
0.189,-14698
0.190,-14708
0.191,-14632
0.192,-14581
0.193,-14586
0.194,-14645
0.195,-14600
0.196,-14572
0.197,-14516
0.198,-14497
0.199,-14465
0.200,-14581
0.201,-14647
0.202,-14569
0.203,-14596
0.204,-14666
0.205,-14704
0.206,-14691
0.207,-14665
0.208,-14694
0.209,-14705
0.210,-14800
0.211,-14849
0.212,-14897
0.213,-14919
0.214,-14954
0.215,-15004
0.216,-15036
0.217,-15057
0.218,-15040
0.219,-15019
0.220,-15041
0.221,-15072
0.222,-15047
0.223,-15050
0.224,-15016
0.225,-15007
0.226,-14912
0.227,-14946
0.228,-14969
0.229,-15089
0.230,-15067
0.231,-15069
0.232,-15079
0.233,-15163
0.234,-15087
0.235,-14922
0.236,-14884
0.237,-14887
0.238,-14874
0.239,-14921
0.240,-14909
0.241,-14885
0.242,-14852
0.243,-14879
0.244,-14802
0.245,-14765
0.246,-14678
0.247,-14839
0.248,-14900
0.249,-14720
0.250,-14698
0.251,-14765
0.252,-14762
0.253,-14783
0.254,-14709
0.255,-14587
0.256,-14634
0.257,-14711
0.258,-14706
0.259,-14725
0.260,-14697
0.261,-14677
0.262,-14641
0.263,-14612
0.264,-14547
0.265,-14536
0.266,-14498
0.267,-14414
0.268,-14363
0.269,-14407
0.270,-14321
0.271,-14304
0.272,-14276
0.273,-14287
0.274,-14349
0.275,-14312
0.276,-14291
0.277,-14402
0.278,-14379
0.279,-14287
0.280,-14261
0.281,-14305
0.282,-14321
0.283,-14299
0.284,-14304
0.285,-14302
0.286,-14226
0.287,-14154
0.288,-14157
0.289,-14151
0.290,-14163
0.291,-14187
0.292,-14144
0.293,-14196
0.294,-14306
0.295,-14360
0.296,-14336
0.297,-14308
0.298,-14341
0.299,-14318
0.300,-14315
0.301,-14307
0.302,-14254
0.303,-14274
0.304,-14354
0.305,-14339
0.306,-14336
0.307,-14367
0.308,-14400
0.309,-14271
0.310,-14287
0.311,-14434
0.312,-14434
0.313,-14419
0.314,-14477
0.315,-14557
0.316,-14570
0.317,-14547
0.318,-14599
0.319,-14697
0.320,-14627
0.321,-14636
0.322,-14721
0.323,-14724
0.324,-14674
0.325,-14696
0.326,-14721
0.327,-14790
0.328,-14803
0.329,-14755
0.330,-14733
0.331,-14729
0.332,-14671
0.333,-14650
0.334,-14661
0.335,-14846
0.336,-15034
0.337,-15222
0.338,-15318
0.339,-15323
0.340,-15445
0.341,-15457
0.342,-15368
0.343,-15237
0.344,-15195
0.345,-15242
0.346,-15582
0.347,-15917
0.348,-16148
0.349,-16332
0.350,-16421
0.351,-16594
0.352,-16849
0.353,-16949
0.354,-17176
0.355,-17449
0.356,-17739
0.357,-17542
0.358,-16832
0.359,-16047
0.360,-15431
0.361,-15176
0.362,-14961
0.363,-14699
0.364,-14617
0.365,-14757
0.366,-14946
0.367,-15106
0.368,-15362
0.369,-15567
0.370,-15255
0.371,-14783
0.372,-14236
0.373,-13804
0.374,-13692
0.375,-13569
0.376,-13501
0.377,-13538
0.378,-13778
0.379,-13960
0.380,-14243
0.381,-14456
0.382,-14587
0.383,-14870
0.384,-15116
0.385,-15226
0.386,-15282
0.387,-15349
0.388,-15228
0.389,-15143
0.390,-15121
0.391,-15014
0.392,-14962
0.393,-14943
0.394,-14962
0.395,-14934
0.396,-14863
0.397,-14837
0.398,-14823
0.399,-14837
0.400,-14800
0.401,-14726
0.402,-14719
0.403,-14785
0.404,-14785
0.405,-14699
0.406,-14702
0.407,-14756
0.408,-14751
0.409,-14798
0.410,-14840
0.411,-14791
0.412,-14764
0.413,-14796
0.414,-14846
0.415,-14804
0.416,-14772
0.417,-14804
0.418,-14816
0.419,-14807
0.420,-14804
0.421,-14815
0.422,-14841
0.423,-14872
0.424,-14843
0.425,-14731
0.426,-14752
0.427,-14811
0.428,-14781
0.429,-14781
0.430,-14793
0.431,-14796
0.432,-14780
0.433,-14861
0.434,-14909
0.435,-14877
0.436,-14841
0.437,-14849
0.438,-14852
0.439,-14827
0.440,-14818
0.441,-14797
0.442,-14786
0.443,-14808
0.444,-14834
0.445,-14806
0.446,-14819
0.447,-14829
0.448,-14843
0.449,-14810
0.450,-14829
0.451,-14855
0.452,-14813
0.453,-14881
0.454,-14892
0.455,-14996
0.456,-15083
0.457,-15032
0.458,-15009
0.459,-15077
0.460,-15154
0.461,-15227
0.462,-15118
0.463,-15119
0.464,-15146
0.465,-15098
0.466,-15155
0.467,-15141
0.468,-15105
0.469,-15099
0.470,-15114
0.471,-15188
0.472,-15197
0.473,-15184
0.474,-15184
0.475,-15145
0.476,-15184
0.477,-15182
0.478,-15147
0.479,-15158
0.480,-15131
0.481,-15168
0.482,-15211
0.483,-15174
0.484,-15135
0.485,-15156
0.486,-15137
0.487,-15114
0.488,-15139
0.489,-15143
0.490,-15151
0.491,-15295
0.492,-15366
0.493,-15326
0.494,-15353
0.495,-15381
0.496,-15398
0.497,-15400
0.498,-15408
0.499,-15402
0.500,-15395
0.501,-15391
0.502,-15396
0.503,-15363
0.504,-15375
0.505,-15399
0.506,-15421
0.507,-15422
0.508,-15377
0.509,-15389
0.510,-15404
0.511,-15407
0.512,-15470
0.513,-15502
0.514,-15532
0.515,-15672
0.516,-15684
0.517,-15697
0.518,-15691
0.519,-15697
0.520,-15694
0.521,-15758
0.522,-15832
0.523,-15842
0.524,-15860
0.525,-15861
0.526,-15834
0.527,-15844
0.528,-15902
0.529,-15943
0.530,-15941
0.531,-15984
0.532,-16047
0.533,-16101
0.534,-16205
0.535,-16319
0.536,-16369
0.537,-16304
0.538,-16301
0.539,-16440
0.540,-16496
0.541,-16519
0.542,-16542
0.543,-16506
0.544,-16497
0.545,-16536
0.546,-16544
0.547,-16542
0.548,-16574
0.549,-16579
0.550,-16626
0.551,-16694
0.552,-16749
0.553,-16803
0.554,-16865
0.555,-16897
0.556,-16891
0.557,-16891
0.558,-16948
0.559,-16986
0.560,-16965
0.561,-16927
0.562,-16962
0.563,-16994
0.564,-17054
0.565,-17110
0.566,-17071
0.567,-17064
0.568,-17136
0.569,-17133
0.570,-17159
0.571,-17162
0.572,-17156
0.573,-17172
0.574,-17194
0.575,-17239
0.576,-17294
0.577,-17276
0.578,-17297
0.579,-17302
0.580,-17296
0.581,-17272
0.582,-17279
0.583,-17291
0.584,-17297
0.585,-17274
0.586,-17230
0.587,-17219
0.588,-17185
0.589,-17181
0.590,-17083
0.591,-16972
0.592,-16911
0.593,-16910
0.594,-16934
